"QID","itemLabel","itemDescription"
"Q60996913","Q60996913","film"
"Q60996926","Q60996926","film"
"Q60997264","Q60997264","film"
"Q60997280","Q60997280","film"
"Q60997433","Q60997433","film"
"Q60997524","Q60997524","film"
"Q60997548","Q60997548","film"
"Q60997697","Q60997697","film"
"Q60997704","Q60997704","film"
"Q60999955","Q60999955","film"
"Q61000007","Q61000007","film"
"Q61000833","Q61000833","film"
"Q61001296","Q61001296","film"
"Q61001764","Q61001764","film"
"Q61002630","Q61002630","film"
"Q60995994","Q60995994","1988 film"
"Q60997386","Q60997386","1964 film"
"Q60986541","Q60986541","2018 film"
"Q60987029","Q60987029","1955 film"
"Q60987687","Q60987687","2018 film"
"Q60996438","Q60996438","2018 film"
"Q60990506","Q60990506","film directed by Masahiro Makino"
"Q61030407","Q61030407","1974 film"
"Q61033921","The Hunter and the Skeleton","2012 film"
"Q61034320","An Apple Tree","2013 film"
"Q61033559","Perfect Conjugal Bliss","2014 film"
"Q60946838","Q60946838","2006 film directed by Michel Langlois"
"Q60945191","Q60945191","2005 film directed by Manon Barbeau"
"Q61034443","Double Act","2013 film"
"Q61033056","Listening To Third Grandmother's Stories","2012 film"
"Q60962537","Q60962537","1998 film directed by Michel La Veaux"
"Q60992209","Endless Loop",NA
"Q61035157","Family Reunion","2012 film"
"Q60984342","Docstop","series of Finnish tv documentaries"
"Q61059467","Anden 25","film"
"Q61059537","Prashnam Gurutharam","film"
"Q61065170","Q61065170","film directed by Fariborz Kamkari"
"Q61066831","Q61066831","1971 film directed by Kirk Tougas"
"Q61067110","Q61067110","1988 film directed by Martin Duckworth"
"Q61068663","Q61068663","1962 film directed by Don Owen"
"Q61066259","Marina Puratchi","film"
"Q61059990","Maa Nishada","film directed by Kunchacko"
"Q61065323","Q61065323","film directed by Turaj Aslani"
"Q61055934","Beyond Fordlandia",NA
"Q61066265","Kondaan Koduthaan","film"
"Q61056627","Any Road","2016 film"
"Q61066697","In Black and White","1979 film"
"Q61060706","Q61060706","film directed by Farhad Varahram"
"Q61063466","Q61063466","film directed by Asghar Abdollahi"
"Q61060306","Karipuranda Jeevithangal","Malayalam film"
"Q61035436","Dismantling Clematis #16","2014 film"
"Q61064068","Salam Haj Agha","film"
"Q61059924","Chakara","Malayalam Film"
"Q61066674","Canadian Pacific 1","1974 film directed by David Rimmer"
"Q61057675","Q61057675","2018 film directed by Masatoshi Akihara"
"Q61068568","Q61068568","2014 film directed by Cordell Barker"
"Q61066681","A Day Much Like the Others","1977 film directed by Sturla Gunnarsson"
"Q61056352","Q61056352",NA
"Q61056356","Q61056356",NA
"Q61071515","Q61071515",NA
"Q61069238","The Lady In Black","2015 film"
"Q61061356","Varadakshina","film"
"Q61057491","Big Three Dragons",NA
"Q61043290","Evolution. From the Birth of the Planets to the Age of Man","film"
"Q61059471","Anugraham","film"
"Q61055267","The Dossier","2014 film"
"Q61059988","Kamam Krodham Moham","1975 film by Madhu"
"Q61057485","Han Dan",NA
"Q61056188","Q61056188","2011 film"
"Q61056563","Q61056563","2011 film"
"Q61055861","Q61055861","2010 film"
"Q61056858","Q61056858","film"
"Q61057643","Q61057643","film"
"Q61057663","Q61057663","film"
"Q61057854","Q61057854","film"
"Q61058095","Q61058095","film"
"Q61058093","Q61058093","film"
"Q61058276","Q61058276","film"
"Q61059599","Q61059599","film"
"Q61059730","Q61059730","film"
"Q61059981","Q61059981","film"
"Q61060153","Q61060153","film"
"Q61060616","Q61060616","film"
"Q61061245","Q61061245","film"
"Q61061251","Q61061251","film"
"Q61061276","Q61061276","film"
"Q61061284","Q61061284","film"
"Q61061399","Q61061399","film"
"Q61061434","Q61061434","film"
"Q61061881","Q61061881","film"
"Q61062277","Q61062277","film"
"Q61063368","Q61063368","film"
"Q61066846","Q61066846","1984 film"
"Q61066946","Q61066946","1984 film"
"Q61063853","Q61063853","film"
"Q61064067","Q61064067","film"
"Q61064070","Q61064070","film"
"Q61064072","Q61064072","film"
"Q61064214","Q61064214","film"
"Q61064438","Q61064438","film"
"Q61064866","Q61064866","film"
"Q61065331","Q61065331","film"
"Q61068616","Q61068616","1984 film"
"Q61065613","Q61065613","film"
"Q61065634","Q61065634","film"
"Q61065637","Q61065637","film"
"Q61065666","Q61065666","film"
"Q61065700","Q61065700","film"
"Q61065778","Q61065778","film"
"Q61065783","Q61065783","film"
"Q61057498","It's a Mad, Mad, Mad, Mad Show","2019 film directed by Nien-Chu Hsieh"
"Q61068605","Q61068605","2013 film"
"Q61058414","Q61058414","2014 film"
"Q61064575","Q61064575","1967 film"
"Q61066797","Backbone","1972 film directed by Tom Braidwood"
"Q61063200","Q61063200","film directed by Abdolreza Kahani"
"Q61064065","Q61064065","film directed by Ali Ghavitan"
"Q61058195","Q61058195","2019 Japanese film"
"Q61058092","Q61058092","1970 japanese film"
"Q61070518","Q61070518","2015 film directed by Ryo Orikasa"
"Q61071509","Q61071509","1971 film directed by Jorge Sanjinés"
"Q61065495","Q61065495","film directed by Saeed Soheili"
"Q61066818","Eclipse","1979 film"
"Q61068579","Q61068579","1973 film directed by Roger Frappier"
"Q61035356","The Poet and the Singer","2012 film directed by Bi Gan"
"Q61064607","Sathyaseelan","1936 Indian Tamil-language film"
"Q61066266","Pondatti Pondattithan","1991 film directed by Maniyan Sivabalan"
"Q61059931","Sapamoksham","film"
"Q61055281","People's Park","2012 film directed by J.P. Sniadecki"
"Q61063391","Q61063391","film directed by Levon Mkrtchyan"
"Q61035662","I'm not not Chen Zhou","2013 film directed by Chen Zhou"
"Q61070338","Q61070338","2011 film directed by Ryo Orikasa"
"Q61066598","Backbone: Vancouver Experimental Cinema 1967-1981","2013 film directed by Richard Martin"
"Q61068609","Inferno","2008 film directed by Don Kent"
"Q61092602","Take Me Home","2018 film"
"Q61079238","Qanoon Shikan","1981 Pakistani film"
"Q61077967","The Immortal Sergeant","2013 film"
"Q61099282","Pororo Movie: Snow Fairy Adventure","film"
"Q61098987","The DMZ","2018 film"
"Q61088833","Kerana Kau","film"
"Q61091485","Bad Boss","film"
"Q61094628","DONG-HWA","2018 film"
"Q61078492","No Time For Tomorrow","2015 film"
"Q61098068","Gila-Gila Pengantin","film directed by Aziz M. Osman"
"Q61097337","I Like sexy Women","2014 film"
"Q61092959","The Backstreet Noir","2018 film"
"Q61095543","MR. EGOTISTIC","2018 film"
"Q61085167","Topeng Hitam","film"
"Q61091190","Laos : In the Warmest Country","2014 film"
"Q61092661","Stranger coming","2018 film"
"Q61094626","Passing Summer","2018 film"
"Q61096585","Mermaid Unlimited","2018 film"
"Q61098096","Do you like Chow Shing Chi?","2017 film"
"Q61079247","Dilawar Khan","1988 Pakistani film"
"Q61090778","Women, Women","1985 film directed by Go Yeong-nam"
"Q61072293","Q61072293","1989 film directed by François Girard"
"Q61083852","Q61083852","1967 film directed by Florica Holban"
"Q61095095","Q61095095","2018 film directed by Naoko Yamada"
"Q61083080","Matahari","film directed by Ramon A. Estella"
"Q61091943","Myeoneuri: My Son's Crazy Wife","2018 film"
"Q61098161","America Town","2018 film"
"Q61092216","Recipe for Happiness","2019 film"
"Q61095126","Dancing with Jikji","2017 film"
"Q61080568","Jibon songsar","1996 Bangladeshi film"
"Q61075795","Governor","1990 Pakistani film"
"Q61071554","Q61071554","film"
"Q61071773","Q61071773","film"
"Q61077172","Q61077172","film"
"Q61077202","Q61077202","film"
"Q61077212","Q61077212","film"
"Q61077216","Q61077216","film"
"Q61077250","Q61077250","film"
"Q61077256","Q61077256","film"
"Q61077291","Q61077291","film"
"Q61077305","Q61077305","film"
"Q61077351","Q61077351","film"
"Q61077362","Q61077362","film"
"Q61077418","Q61077418","film"
"Q61077416","Q61077416","film"
"Q61077496","Q61077496","film"
"Q61077710","Q61077710","film"
"Q61077719","Q61077719","film"
"Q61077731","Q61077731","film"
"Q61077745","Q61077745","film"
"Q61077814","Q61077814","film"
"Q61077853","Q61077853","film"
"Q61080193","Q61080193","film"
"Q61080210","Q61080210","film"
"Q61080510","Q61080510","film"
"Q61077067","Q61077067","1973 film"
"Q61082782","Q61082782","film"
"Q61083318","Q61083318","film"
"Q61084096","Q61084096","film"
"Q61085003","Q61085003","film"
"Q61085282","Q61085282","film"
"Q61088418","Q61088418","film"
"Q61083650","Q61083650","1988 film"
"Q61096063","Q61096063","film"
"Q61096203","Q61096203","film"
"Q61093342","Q61093342","1992 film"
"Q61077718","Q61077718","2018 film"
"Q61091436","Q61091436","2018 film"
"Q61091660","Q61091660","2018 film"
"Q61092013","Q61092013","2018 film"
"Q61092030","Q61092030","2018 film"
"Q61092281","Q61092281","2018 film"
"Q61092285","Q61092285","2018 film"
"Q61095686","Q61095686","2018 film"
"Q61096571","Q61096571","2018 film"
"Q61098156","Q61098156","2018 film"
"Q61098854","Q61098854","2018 film"
"Q61099300","Q61099300","2018 film"
"Q61074981","Q61074981","2015 film"
"Q61095957","Q61095957","2017 film"
"Q61098219","Q61098219","2017 film"
"Q61091646","Q61091646","2016 film"
"Q61093207","Q61093207","2016 film"
"Q61094624","A Fine Day to Walk","2018 film"
"Q61078190","Prison","1962 film directed by Robert Lapoujade"
"Q61079918","Q61079918","1967 film directed by Jacques Rivette"
"Q61080086","Q61080086","1967 film directed by Jacques Rivette"
"Q61096266","Q61096266","2018 film directed by Kwon Kyung-Won"
"Q61092545","Deep","2018 film"
"Q61085038","Q61085038","film directed by Abdul Razak Mohaideen"
"Q61074594","Q61074594","2015 film directed by Douwe Dijkstra"
"Q61083985","Ninel","Romanian film"
"Q61091991","After Spring","2018 film"
"Q61092822","Autumn, Autumn","2018 film"
"Q61092820","Beethoven Medley","2018 film"
"Q61098356","Running Man","2018 film"
"Q61091621","Ladies Of The Forest","2016 film"
"Q61092170","Q61092170","1995 film directed by Frank Darabont"
"Q61091364","Hipster","2014 film"
"Q61076610","Mistashipu","1974 film directed by Arthur Lamothe"
"Q61113305","Word of the Righteous","film"
"Q61121729","Yaşıl eynəkli adam","1987 film by Ramiz Hasanoglu"
"Q61126861","48 Hours a Day","1949 film"
"Q61100892","Miss The Train","2014 film"
"Q61099888","Mr. Subjective","2017 film"
"Q61100146","Possible Faces","2019 film"
"Q61100939","February","2019 film"
"Q61125169","Q61125169","1965 yugoslav short film"
"Q61110838","4Love","2016 film by Raihan Halim, Gilbert Chan, Sam Loh, Daniel Yam"
"Q61099439","Second Winter","2018 film"
"Q61121078","Q61121078","2004 film directed by Uģis Olte"
"Q61107676","Por Primera Vez","1967 documentary film by Octavio Cortazar"
"Q61114532","Chantal Akerman on Chantal Akerman","1996 film directed by Chantal Akerman"
"Q61106091","Kamar Seksa","film"
"Q61099440","Hello Dayoung","2018 film"
"Q61100525","Black Gospel 2","2015 film"
"Q61112976","Love...and Other Bad Habits","2013 Singaporean film"
"Q61105126","Q61105126","film"
"Q61105944","Q61105944","film"
"Q61110212","Q61110212","film"
"Q61112104","Q61112104","film"
"Q61114989","Q61114989","film"
"Q61116572","Q61116572","film"
"Q61116667","Q61116667","film"
"Q61117212","Q61117212","film"
"Q61117519","Q61117519","film"
"Q61123311","Q61123311","1980 film"
"Q61124335","Q61124335","1984 film"
"Q61123458","Q61123458","1987 film"
"Q61123462","Q61123462","1987 film"
"Q61121705","Q61121705","film"
"Q61125714","Q61125714","2010 film"
"Q61123449","Q61123449","1986 film"
"Q61124845","Q61124845","2001 film"
"Q61123470","Q61123470","film"
"Q61123872","Q61123872","film"
"Q61125012","Q61125012","1999 film"
"Q61123094","Q61123094","1966 film"
"Q61124924","Q61124924","film"
"Q61123163","Q61123163","1966 film"
"Q61123265","Q61123265","1979 film"
"Q61124001","Q61124001","1966 film"
"Q61128089","Q61128089","2012 film"
"Q61124205","Q61124205","1968 film"
"Q61126083","Q61126083","film"
"Q61124602","Q61124602","1966 film"
"Q61124710","Q61124710","1966 film"
"Q61100128","Q61100128","2018 film"
"Q61100187","Q61100187","2018 film"
"Q61100378","Q61100378","2018 film"
"Q61125269","Q61125269","1968 film"
"Q61124849","Q61124849","2002 film"
"Q61124857","Q61124857","2002 film"
"Q61123922","Q61123922","1973 film"
"Q61126355","Q61126355","1968 film"
"Q61126352","Q61126352","1968 film"
"Q61124388","Q61124388","1969 film"
"Q61126325","Q61126325","2013 film"
"Q61124090","Q61124090","1992 film"
"Q61124088","Q61124088","1992 film"
"Q61124288","Q61124288","1992 film"
"Q61106104","Q61106104","2018 film"
"Q61124382","Q61124382","1990 film"
"Q61124764","Q61124764","1990 film"
"Q61123478","Q61123478","1989 film"
"Q61124129","Q61124129","1994 film"
"Q61124556","Q61124556","1989 film"
"Q61124108","Q61124108","1983 film"
"Q61124163","Q61124163","1997 film"
"Q61124166","Q61124166","1997 film"
"Q61125394","Q61125394","1994 film"
"Q61124132","Q61124132","1995 film"
"Q61122925","Q61122925","1985 film"
"Q61123357","Q61123357","1981 film"
"Q61123385","Q61123385","1982 film"
"Q61124102","Q61124102","1982 film"
"Q61125968","Q61125968","1974 film"
"Q61124819","Q61124819","1971 film"
"Q61099422","Q61099422","2017 film"
"Q61122840","Q61122840","2014 film"
"Q61099880","Q61099880","2017 film"
"Q61125386","Q61125386","1967 film"
"Q61125576","Q61125576","1967 film"
"Q61099446","Q61099446","2019 film"
"Q61126274","Q61126274","1967 film"
"Q61125570","Q61125570","1962 film"
"Q61128210","Q61128210","2014 film"
"Q61125174","Q61125174","1972 film"
"Q61127797","Q61127797","2018 film"
"Q61127602","Q61127602","2017 film"
"Q61123985","Q61123985","2016 film"
"Q61102802","Q61102802","film directed by Afdlin Shauki"
"Q61099579","Q61099579","2019 film directed by Yoon Je-kyoon"
"Q61112470","Q61112470","film directed by Aziz M. Osman"
"Q61114427","Q61114427","2002 film directed by Chantal Akerman"
"Q61124971","Q61124971","2020 film"
"Q61112588","Khrustalnyy dvorets","film"
"Q61110164","Q61110164","film directed by Abdul Razak Mohaideen"
"Q61121663","Q61121663","film directed by Tariyel Vəliyev and Ramiz Hasanoglu"
"Q61121659","Q61121659","film directed by Ramiz Hasanoglu"
"Q61146008","Malik Bentalha se la raconte","2014 film"
"Q61360999","Q61360999","2018 film directed by Tetsurō Araki"
"Q61362720","Q61362720","film directed by Sridhar Jetty"
"Q61365999","Q61365999","film directed by Hilman Mutasi"
"Q61213641","The Day at the End of Time","2021 film directed by Rana Abrar"
"Q61357637","Q61357637","2018 film directed by Róbert Pajer"
"Q61363257","Q61363257","1970 film directed by István Homoki Nagy"
"Q61365566","Siluman Ular","Indonesian soap operas"
"Q61348803","La bataille du Libre","a 2018 French documentary film, directed by Philippe Borrel"
"Q61268453","Surfer Dan","2018 film by Tim Kemple"
"Q61363356","Jodi Ekdin","2019 film directed by Mohammad Mostafa and Kamal Raz"
"Q61366143","Satu Suro","2019 Indonesian horror film"
"Q61360098","Asih","2018 film directed by Awi Suryadi"
"Q61367290","Mister Sundari","1974 film by Vasan"
"Q61366030","Calon Bini","film"
"Q61360203","Pariban, Idola dari Tanah Jawa","film directed by Andibachtiar Yusuf"
"Q61367108","Two Lights: Relumino","film directed by Hur Jin-ho"
"Q61128248","Q61128248","film"
"Q61128831","Q61128831","film"
"Q61128938","Q61128938","film"
"Q61129751","Q61129751","film"
"Q61129752","Q61129752","film"
"Q61129756","Q61129756","film"
"Q61129979","Q61129979","film"
"Q61129982","Q61129982","film"
"Q61129391","Q61129391","1960 film"
"Q61129404","Q61129404","1960 film"
"Q61134572","Q61134572","2012 film"
"Q61129760","Q61129760","1960 film"
"Q61135423","Q61135423","1993 film"
"Q61128923","Q61128923","2017 film"
"Q61132528","Q61132528","2017 film"
"Q61135079","Q61135079","2019 film"
"Q61356481","Dosa","2018 Indonesian television miniseries"
"Q61278441","Q61278441","film"
"Q61295194","Q61295194","film"
"Q61295193","Q61295193","film"
"Q61284471","Q61284471","1939 film"
"Q61313743","Q61313743","1991 film"
"Q61312592","Q61312592","1953 film"
"Q61278452","Q61278452","1897 film"
"Q61355254","Q61355254","film"
"Q61356352","Q61356352","film"
"Q61356824","Q61356824","film"
"Q61356897","Q61356897","film"
"Q61357203","Q61357203","film"
"Q61357210","Q61357210","film"
"Q61358260","Q61358260","film"
"Q61359042","Q61359042","film"
"Q61360314","Q61360314","film"
"Q61364438","Q61364438","2007 film"
"Q61361325","Q61361325","film"
"Q61361999","Q61361999","film"
"Q61362448","Q61362448","film"
"Q61362516","Q61362516","film"
"Q61362933","Q61362933","film"
"Q61364318","Q61364318","film"
"Q61366008","Q61366008","film"
"Q61366054","Q61366054","film"
"Q61366086","Q61366086","film"
"Q61366157","Q61366157","film"
"Q61366423","Q61366423","film"
"Q61366604","Q61366604","film"
"Q61367114","Q61367114","film"
"Q61367184","Q61367184","film"
"Q61367240","Q61367240","film"
"Q61367277","Q61367277","film"
"Q61367324","Q61367324","film"
"Q61354720","Hagramayao Jinahari","Bodo film"
"Q61367066","Q61367066","2014 film"
"Q61362859","Q61362859","2018 film"
"Q61366108","Matt & Mou","2019 film directed by Monty Tiwa"
"Q61356825","Q61356825","2019 film"
"Q61362220","Q61362220","2017 film"
"Q61366065","Q61366065","film directed by Monty Tiwa"
"Q61359296","Q61359296","film directed by Fajar Nugros"
"Q61362507","Q61362507","film directed by Jopijaya Burnama"
"Q61362531","Q61362531","film directed by Jopijaya Burnama"
"Q61366750","Devil Killer","1975 Thai film"
"Q61362521","Q61362521","film directed by Torro Margens"
"Q61651740","The Flower (Part 1)","2016 film"
"Q61766285","Waterloo","2011 film"
"Q61694846","Don Giovanni","1966 film"
"Q61768077","The Life and Death of Yul Brynner","2010 film"
"Q61766859","Dead Files","2014 film"
"Q61768180","Q61768180","2014 film directed by Donald McWilliams"
"Q61421584","Masood Saida and Saadan","2018 Moroccan film directed by Brahim Chkiri"
"Q61770404","Q61770404","1988 film directed by Robert Daudelin"
"Q61814886","Butte","2007 film directed by Marlene Millar and Philip Szporer"
"Q61819019","Special Features","2014 film directed by James N. Kienitz Wilkins"
"Q61818711","Totem: Return and Renewal","2007 film directed by Gil Cardinal"
"Q61819006","All That Is Solid","2014 film directed by Louis Henderson"
"Q61766196","Panorama: Seeking Voïvod","2008 film"
"Q61818750","Fade In Grey","2011 film"
"Q61766870","Jupiter Applause","2015 film"
"Q61816408","Prospecting for Gold","1922 film"
"Q61816631","The Romance of Huronia","1922 film"
"Q61818744","Q61818744","2000 film directed by Gabriela Golder"
"Q61814993","Shadow of a Giant","2015 film"
"Q61818834","The Witch","2015 film"
"Q61651936","The Flower (Part 3)","2018 film"
"Q61392022","Statue of Heart","Kurdish drama film"
"Q61451067","Q61451067","1967 film directed by Pío Caro Baroja"
"Q61458773","L'eletta","2006 film"
"Q61505793","Mr. Dynamite: The Rise of James Brown","documentary directed by Alex Gibney"
"Q61819172","Two Ways Down","2015 film"
"Q61667352","Son of Ann Daata","1987 Pakistani Urdu film"
"Q61818769","Nathalie Lemoine, Who Are You?","2014 film directed by kimura byol-nathalie lemoine"
"Q61769370","Q61769370","2006 film directed by Will Prosper"
"Q61770444","Q61770444","1980 film directed by Jesús Garay"
"Q61818735","Freak Girls","2005 film"
"Q61818937","Q61818937","2006 film directed by Gary Halvorson"
"Q61655899","Swing","2014 film directed by Csaba Fazekas"
"Q61768060","Patchwork","2009 film"
"Q61768520","On the Edge of Life","2017 film"
"Q61819184","Kingdom Come: Rituals","2014 film"
"Q61819545","The Song Remains the Same","2014 film"
"Q61770330","Q61770330","1977 film directed by Pere Portabella"
"Q61809115","Poo Poova Poothirukku","1987 film directed by V. Azhagappan"
"Q61819103","Herd","2014 film directed by Ashley Sabin"
"Q61648841","My world - Paris, London, Berlin, Rome","film"
"Q61811201","Faut-Il Brûler L'Art Contemporain ?","conference by Michel Onfray and documentary film"
"Q61768343","Between Two Deaths","2015 film"
"Q61819540","A Symptom","2014 film"
"Q61778671","Shuva Love","2019 Nepalese film"
"Q61818795","Untitled (Self-Portrait)","2010 film"
"Q61648840","Zorjana Horobraja","film"
"Q61815336","Secret Weapons","2008 film directed by Adam Garnet Jones"
"Q61642164","The Flower (Part 2)","2018 film"
"Q61367768","Q61367768","film"
"Q61367842","Q61367842","film"
"Q61369543","Q61369543","film"
"Q61372023","Q61372023","film"
"Q61372433","Q61372433","film"
"Q61374954","Q61374954","film"
"Q61421592","Q61421592","film"
"Q61396066","Mis iganes, Aleksander!","2007 film directed by Maiju Ingman"
"Q61819001","Layover","2014 film directed by Vanessa Renwick"
"Q61386573","Q61386573","2015 film"
"Q61434661","Q61434661","1995 film"
"Q61473393","Q61473393","film"
"Q61768040","[bwa]","2009 film"
"Q61814561","Back to Baffin","1925 film"
"Q61818958","Seven Signs That Mean Silence","2014 film"
"Q61648839","Q61648839","film"
"Q61648843","Q61648843","film"
"Q61648844","Q61648844","film"
"Q61738490","Q61738490","2013 film"
"Q61750382","Q61750382","film"
"Q61768086","Q61768086","2010 film"
"Q61768109","Q61768109","2010 film"
"Q61723013","Q61723013","2019 film"
"Q61766459","Q61766459","2013 film"
"Q61766469","Q61766469","2013 film"
"Q61766503","Q61766503","2013 film"
"Q61769583","Q61769583","1970 film"
"Q61769651","Q61769651","1976 film"
"Q61766838","Q61766838","2014 film"
"Q61770011","Q61770011","2018 film"
"Q61818760","Q61818760","2012 film"
"Q61818801","Q61818801","2012 film"
"Q61726950","Five Year Diary Reels 22, 23 & 80","2014 film"
"Q61815897","Q61815897","1995 film"
"Q61766889","Q61766889","2016 film"
"Q61769946","Q61769946","2016 film"
"Q61819570","The Peacock","2015 film"
"Q61819076","Q61819076","2014 film"
"Q61819156","Q61819156","2015 film"
"Q61819202","Lessons Of War","2014 film directed by Peggy Ahwesh"
"Q61766904","Close-up","2017 film"
"Q61640987","Premare Rakhichi 100 Ru 100","2019 Odia film"
"Q61819162","Sightings: Habitat","2014 film"
"Q61782947","Q61782947","1998 film directed by Isabelle Hayeur"
"Q61780906","Azor","the first feature film in the Erzya language"
"Q61818807","Belly of the Beast","2014 film"
"Q61765233","Q61765233","2012 film directed by André-Line Beauparlant"
"Q61782614","Q61782614","2019 film directed by André-Line Beauparlant"
"Q61782625","Q61782625","2019 film directed by André-Line Beauparlant"
"Q61814667","Coming Home","2009 film directed by Helen Haig-Brown"
"Q61818725","Q61818725","1979 film directed by Louise Gendron"
"Q61946946","Gray Hairs","1976 film directed by William Wegman"
"Q61820476","Q61820476","1999 film directed by Martin Duckworth"
"Q61951650","Dieux du Stade: Making of the 2011 Calendar","2010 film"
"Q61951565","Dieux du Stade: Making of the 2010 Calendar","film"
"Q61819735","Creep","2014 film directed by Dayna McLeod"
"Q61830478","Hope(less)? : biographies of radicalization","film published in 2018"
"Q61947067","Roger Ballen's Outland","2015 film"
"Q61820415","Hairy","2014 film directed by kimura byol-nathalie lemoine"
"Q61820464","The Wish","1970 film directed by Martin Duckworth"
"Q61819696","Welcome to Africville","1999 film directed by Dana Inkster"
"Q61820273","Splash","1981 film"
"Q61938772","Fennario, the Good Fight","2014 film directed by Martin Duckworth"
"Q61946831","Cinemas","2013 film directed by Solomon Nagler"
"Q61946801","Untitled 2 (the last jew of edenbridge)","2003 film directed by Solomon Nagler"
"Q61947003","Counting","2014 film directed by Jem Cohen"
"Q61947078","Death in Port Jackson Hotel","1972 film directed by Ed van der Elsken"
"Q61820407","Don't Blink for 45 seconds (after Kathy Dillon)","2007 film"
"Q61946824","Pilgrimage","2015 film directed by Solomon Nagler"
"Q61820347","Beam Me Up","2011 film"
"Q61937483","Q61937483","1987 film directed by Martin Duckworth"
"Q61965613","Where Should the Birds Fly","2013 film"
"Q61946866","Q61946866","2007 film directed by Solomon Nagler"
"Q61965637","Q61965637","1962 film directed by Yōji Kuri"
"Q61819754","Buried Traces","2008 film"
"Q61937832","Q61937832","1978 film directed by Noboru Tanaka"
"Q61937619","Q61937619","1967 film directed by Francis Mankiewicz"
"Q61947430","Q61947430","1960 film directed by Guy L. Coté"
"Q61953681","Dieux du Stade: Making of the 2017 calendar","film"
"Q61953121","Dieux du Stade: Making of the 2014 calendar","2013 film"
"Q61820234","Rehearsal","2012 film"
"Q61947171","Culture","2002 film directed by Donigan Cumming"
"Q61819605","Things","2014 film directed by Ben Rivers"
"Q61819701","Re-oriented In Sao Paulo","2010 film"
"Q61820386","Studio Performance Experiments (1, 2, 3)","2012 film"
"Q61937964","Q61937964","1974 film directed by Francis Mankiewicz"
"Q61946657","Q61946657","1996 film directed by Michel Pratt"
"Q61947402","Q61947402","1961 film directed by Guy L. Coté"
"Q61951966","Dieux du Stade: Making of the 2013 Calender","film"
"Q61953323","Dieux du Stade: Making of the 2015 calendar","film"
"Q61937327","The Battle of Rabaska","2008 film directed by Magnus Isacsson Martin Duckworth"
"Q61947189","Bertil and Maggan","2006 film directed by JH Engström"
"Q61846140","Q61846140",NA
"Q61863750","Kanavu Meippada Vendum","Tamil-language drama film"
"Q61857715","Mookajjiya Kanasugalu","film directed by P. Sheshadri"
"Q61946806","Untitled 1 (prayerielandescape)","2003 film directed by Solomon Nagler"
"Q61937364","12,000 Men","1978 film directed by Martin Duckworth"
"Q61937728","I Was Dying Anyway","1978 film directed by Francis Mankiewicz"
"Q61937572","Valentin","1973 film directed by Francis Mankiewicz"
"Q61946843","Notes on Gesture","2008 film directed by Solomon Nagler"
"Q61937641","Q61937641","1996 film directed by Martin Duckworth"
"Q61938285","Q61938285","1983 film directed by Martin Duckworth"
"Q61947035","Q61947035","1960 film directed by Guy Borremans"
"Q61965503","Living in Fear","2014 film"
"Q61820398","We Don't Need Another Hero","2010 film"
"Q61819674","Accent Graves On Ananas","2015 film directed by Tamara Henderson"
"Q61874643","Major!","documentary about activism of Miss Major Griffin-Gracy"
"Q61946836","j.","2009 film directed by Solomon Nagler"
"Q61946791","The Sex of the Self-Hatred","2004 film directed by Solomon Nagler"
"Q61946851","Untitled 3 (stone killer)","2006 film directed by Solomon Nagler"
"Q61946811","Sackville Music Hall","2013 film directed by Solomon Nagler"
"Q61819641","Falling","2015 film directed by Robert Todd"
"Q61820421","The Party's Over","2013 film directed by Coral Short"
"Q61820361","Unlearning the Piano","2011 film"
"Q61953496","Dieux du Stade: Making of the 2016 calendar","film"
"Q61948584","Rangila Bohu","2019 Odia film"
"Q61946809","Perhaps/we","2003 film directed by Solomon Nagler"
"Q61965476","The Merry Go Round","1966 film"
"Q61965573","Shujeiya, Land of the Brave","2014 film"
"Q61947221","Fishtank","1998 film directed by Richard Billingham"
"Q61819678","Politically Correct","2001 film"
"Q61819741","Q61819741","2010 film"
"Q61820246","Q61820246","2012 film"
"Q61820254","Q61820254","2012 film"
"Q61819722","Q61819722","1993 film"
"Q61820375","Q61820375","2004 film"
"Q61820229","Q61820229","2013 film"
"Q61874290","Q61874290","film"
"Q61819587","Q61819587","2015 film"
"Q61830495","La haine des autres, sur les traces de Boko Haram","film published in 2018"
"Q61820368","And Here","2011 film"
"Q61820392","Treasure Hill Camouflage","2012 film"
"Q61847284","Punascha","A film directed by Mrinal Sen"
"Q61819624","Blue Loop, July","2014 film"
"Q61938885","Q61938885","2012 film"
"Q61940967","Q61940967","1999 film"
"Q61937878","Q61937878","1988 film"
"Q61947017","Q61947017","1990 film"
"Q61938105","What We Have Here is a People Problem","1976 film directed by Francis Mankiewicz"
"Q61819731","Q61819731","2014 film directed by kimura byol-nathalie lemoine"
"Q61951827","Dieux du Stade: Making of the 2012 Calender","2011 film"
"Q61875868","Q61875868","film directed by Vladimír Sís"
"Q61937248","Q61937248","1955 film directed by Francisco Macián"
"Q61937260","Q61937260","1958 film directed by Francisco Macián"
"Q61937288","Q61937288","2005 film directed by Magnus Isacsson"
"Q61937668","Q61937668","1978 film directed by Francis Mankiewicz"
"Q61937932","Q61937932","1973 film directed by Francis Mankiewicz"
"Q61937948","Q61937948","1973 film directed by Francis Mankiewicz"
"Q61938661","Q61938661","2012 film directed by Martin Duckworth"
