"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"26-1954","tt0045626","Christopher Crumpet",1953,"N/A","6 min","Animation, Short","Robert Cannon","T. Hee, Robert Cannon","Marvin Miller, Marian Richman","Through drawings, an illustrator tells his dog the story of a boy named Christopher Crumpet. Christopher can at will change himself from a little boy into a chicken. He threatens to do so if his father, Marvin, won't buy him a rocket","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTAwMDU2MDQyMF5BMl5BanBnXkFtZTYwNDEwMjk5._V1_SX300.jpg","N/A","6.7","174","tt0045626","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"26-1954","tt0045940","Joy of Living",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"26-1954","tt0046051","Martin Luther",1953,"Approved","105 min","Biography, Drama, History","Irving Pichel","Allan Sloane, Lothar Wolff, Theodore G. Tappert","Niall MacGinnis, John Ruddock, Pierre Lefevre","Biopic of German priest Martin Luther (Niall MacGinnis), covering his life between 1505 and 1530 A.D., and the birth of the Protestant Reformation movement.","English","West Germany, United States","Nominated for 2 Oscars. 1 win & 4 nominations total","https://m.media-amazon.com/images/M/MV5BN2I1OWIyNTYtMTMxZC00MDFjLTk3Y2EtOWFlNmNjZTMxMzkyXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg","N/A","6.9","559","tt0046051","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA
"26-1954","tt0046506","Vesuvius Express",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"26-1954","tt0046537","Wee Water Wonders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"26-1954","tt0046554","Winter Paradise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"27-1955","tt0046981","The First Piano Quartette",1954,"Approved","10 min","Short","Otto Lang","N/A","Glauco D'Attili, Edward Edson, Adam Garner","Another of the CinemaScope shorts in Technicolor that 20th Century-Fox churned out in a hurry to get them booked with their CinemaScope features to make a full bill of CinemaScope in theatres. The 1st Piano Quartette (Adan Garner, Ed","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.1","21","tt0046981","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"27-1955","tt0047485","Siam",1954,"G","32 min","Documentary, Short","Ralph Wright","Winston Hibler, Cecil Maiden, Ted Sears","N/A","N/A","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.2","41","tt0047485","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"27-1955","tt0047531","Strauss Fantasy",1954,"Approved","10 min","Short, Music","N/A","N/A","The MGM Symphony Orchestra, Johnny Green, John Dehner","Johnny Green leads the MGM Symphony Orchestra in a medley of waltzes and other familiar pieces by three members of the Strauss family.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.9","103","tt0047531","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"27-1955","tt0047600","TouchÃ©, Pussy Cat!",1954,"Approved","7 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","N/A","Francoise Brun-Cottan, William Hanna","Musketeer Jerry's old friend, François Mouse, sends his son for training. But when Jerry has to save the tyke from a run-in with Tom, the little one is sent packing until he manages to save Jerry.","English, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTNlNzJlZmMtYTc0Yy00MzViLWI0NDYtZTUxYzNkMTA2MWU5XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg","N/A","7.5","846","tt0047600","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"28-1956","tt0048106","Gadgets Galore",1955,"Approved","10 min","Short, History","Robert Youngson","Robert Youngson","Dwight Weist, Ward Wilson, Barney Oldfield","Assembled from dozens of film clips, with voice-over narration, this short film is a humorous ""little history of a very big event, the coming of the automobile."" It highlights the first few decades of autos and their impact in the U.","English, German","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BN2NkYmI1ODMtYWJhNy00NDQ0LWJlYjEtMzJiYjZkMzg3YjYwXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","118","tt0048106","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"28-1956","tt0048447","On the Twelfth Day...",1955,"N/A","23 min","Short, Comedy, Music","Wendy Toye","David Deutsch, James Matthews, Wendy Toye","David O'Brien, Wendy Toye, Franklyn Bennett","A proper Edwardian lady patiently endures the ever-increasing disruption to her quiet household when her Truelove gives her all the items from the song ""The Twelve Days of Christmas.""","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BM2ZhYzJkOWUtMjVkMC00MzY3LWI0YjItZTY5YTY5YjkyMDlmXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_SX300.jpg","N/A","7.4","107","tt0048447","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"28-1956","tt0048683","Switzerland",1955,"N/A","33 min","Documentary, Short, Family","Ben Sharpsteen","N/A","N/A","N/A","English","USA","N/A","N/A","N/A","7.6","18","tt0048683","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"28-1956","tt0048718","Three Kisses",1955,"N/A","10 min","Short","Justin Herman","Justin Herman","N/A","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.6","12","tt0048718","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"29-1957","tt0049099","Cow Dog",1956,"Approved","22 min","Short, Action, Family","Larry Lansburgh","Larry Lansburgh","Rex Allen, Slim Pickens, Jay Sisler","This featurette demonstrates how trained dogs are instrumental in helping round up an outlaw Brahma bull which has been plaguing a ranchers pure-bred Hereford cattle.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzMyMjIyZTgtYzZlNS00NzBjLWExNTAtMTZmZjc1YzVjZjM2XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.9","17","tt0049099","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"29-1957","tt0049258","Gerald McBoing! Boing! on Planet Moo",1956,"Approved","7 min","Animation, Short, Adventure","Robert Cannon","T. Hee, Robert Cannon, Dr. Seuss","Marvin Miller","While meeting a new friend, Gerald is abducted by aliens and whisked to the planet Moo. The king of Moo mistakenly thinks that all Earthlings - like Gerald - speak only in sound effects, and he attempts to converse with Gerald. Hopin","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTI1ODQyNzg2N15BMl5BanBnXkFtZTcwMzYwOTYzMQ@@._V1_SX300.jpg","N/A","6.0","284","tt0049258","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"29-1957","tt0049380","The Jaywalker",1956,"N/A","7 min","Animation, Short","Robert Cannon","Edwin P. Hicks, T. Hee, Robert Cannon","Eugene Bollay","Milton Muffet is confessed poor pedestrian. He's addicted to ""the most awful, habit-forming vice"" man falls prey to, jaywalking.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTMwNzExNTExOV5BMl5BanBnXkFtZTcwMzE2MzUxMQ@@._V1_SX300.jpg","N/A","6.4","110","tt0049380","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"29-1957","tt0049709","Samoa",1956,"N/A","32 min","Documentary, Short, Family","Ben Sharpsteen","N/A","Winston Hibler","Samoa consists of two major islands. Western Samoa is inhabited by a very proud race of people who don't particularly like Westerners so tourism is not really encouraged. Catherine and John try to understand Fa Samoa, the source of i","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWY1MWY2ZmYtYjk0Ni00MjUwLWI4ZGYtOTI5YTQyMmU2MjlhXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.2","33","tt0049709","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"30-1958","tt0050403","Foothold on Antarctica",1957,"N/A","20 min","Documentary, Short","Derek Williams","N/A","Derek Williams","An absorbing record of the advance preparations for the historic first crossing of the Antarctic Continent by Dr. Vivian Fuchs and Sir Edmund Hillary.","N/A","United Kingdom","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","6.5","19","tt0050403","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"30-1958","tt0050851","Portugal",1957,"Not Rated","30 min","Documentary, Short, Family","N/A","Dwight Hauser","N/A","This program looks at the people, history, culture and geography of: Portugal.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTgyNzQ1OTU4NV5BMl5BanBnXkFtZTgwNjgxNTc3OTE@._V1_SX300.jpg","N/A","6.7","23","tt0050851","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"30-1958","tt0051108","Trees and Jamaica Daddy",1957,"Approved","7 min","Animation, Short, Music","Fred Crippen, Lew Keller","N/A","N/A","""Trees and Jamaica Daddy"" was the first of a UPA series (short-lived) that featured two different subjects (plot, characters)running about 3.5 minutes each, on a seven-minute reel. The first one here was titled ""Trees"", featuring a l","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTJiYTVjZTAtYTQ5Yy00ODZjLWIyZmEtYzViNjY4NTgzYzE1XkEyXkFqcGdeQXVyNTE1MDU1Mjk@._V1_SX300.jpg","N/A","5.3","98","tt0051108","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"31-1959","tt0052195","Sidney's Family Tree",1958,"N/A","6 min","Animation, Comedy, Short","Art Bartsch, Gene Deitch","Eli Bauer, Larz Bourne","Lionel Wilson","Sidney the elephant is looking for a mother, even though he's 44. The hippo and giraffe turn him down, but a monkey that drops a coconut on Sidney's head takes him in (though her husband isn't completely sold on the idea). The husban","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BN2I1MWU0ZGUtMTBjZi00ZmMxLTgxYTAtMzJhY2ZlNzQ0Y2JiXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.8","93","tt0052195","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"31-1959","tt0052267","T Is for Tumbleweed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"32-1960","tt0052621","Between the Tides",1959,"N/A","20 min","Documentary, Short","Ralph Keene","James Burns Singer","Stephen Murray","A look at the wildlife living on the seashore in the UK.","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOWZkZTM1MDEtZTdiZC00YjM4LWIyYWYtNWY1NjljZDYxNWYzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","7.4","31","tt0052621","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"32-1960","tt0053090","Mysteries of the Deep",1959,"Approved","24 min","Family, Documentary, Short","N/A","Roy Edward Disney","Winston Hibler","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTdkMDQ2MTItNTc5Ny00ZWUxLWJhNjUtYWM0ODEwMDgwZjYwXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","8.2","80","tt0053090","movie",NA,NA,NA,NA,"8.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"32-1960","tt0053120","Noah's Ark",1959,"Approved","19 min","Animation, Short, Comedy","Bill Justice","T. Hee","Jerome Courtland, Jeanne Bruns, James MacDonald","Noah gets the word: build an ark in seven days. His sons cut the necessary trees in three days, and much furious sawing and hammering follows. But there's no rest, as they need to round up all the animals. Noah boards the animals, th","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDViNWI5ZmUtOWY4Yi00ZWY5LTljNDEtYzY3ZGI5ZTJlYzcwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg","N/A","6.4","301","tt0053120","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"32-1960","tt0053425","The Violinist",1959,"N/A","8 min","Animation, Short","Ernest Pintoff","Ernest Pintoff","Carl Reiner","Harry is a Violinist who loves to play, but without feeling. When he is told that he plays terribly he tries to change how he plays, learning a very important lesson.","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWVkYWQ1MjYtZjE3Ny00YzFjLWE1ZmUtMmQ3OGJmOTU5YjM2XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.9","76","tt0053425","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"33-1961","tt0053737","The Creation of Woman",1961,"N/A","14 min","Short, Musical","Charles F. Schwep","Charles F. Schwep","Bhaskar Roy Chowdhury, Dinu, Anjali Devi","N/A","English","India, United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMjE1ODQ1ODI0NV5BMl5BanBnXkFtZTcwODAxMzUyMQ@@._V1_SX300.jpg","N/A","6.0","76","tt0053737","movie",NA,NA,NA,NA,"6.0/10",NA,NA,5,2022-02-27,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"33-1961","tt0053956","Islands of the Sea",1960,"G","28 min","Documentary, Short, Family","Ben Sharpsteen","Dwight Hauser","Winston Hibler","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTBkNmRlYmMtNzhhZS00NTk5LWJkMmItZWQ0ODc5NDJkNmM3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","8.1","44","tt0053956","movie",NA,NA,NA,NA,"8.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"33-1961","tt0054186","O mÃ­sto na slunci",1959,"N/A","6 min","Animation, Short","Frantisek Vystrcil","Frantisek Vystrcil","N/A","Two characters fight over their claim to a small sunny spot on a beach.","Czech","Czechoslovakia","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BN2U3ZmQ4ODctMWYyNy00OTMxLTlhNjYtOGE0MGFkN2IwMDg4XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.7","89","tt0054186","movie",NA,NA,NA,NA,"6.7/10",NA,NA,4,2022-02-27,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"33-1961","tt0054335","A Sport Is Born",1960,"N/A","10 min","Documentary, Short, Sport","Richard Winik","Martin Andrews","Chris Schenkel, Lewis Sanborn","A thrilling featurette on daredevil skydivers and parachute jumpers.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDc1M2JhNjUtNmUzZC00ZGIxLTgxZTYtYTI5MjZkNzBlZGRiXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.3","24","tt0054335","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"34-1962","tt0054658","Ballon vole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"34-1962","tt0054863","The Face of Jesus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"34-1962","tt0055384","Rooftops of New York",1961,"N/A","11 min","Short, Documentary","Robert McCarty","Robert McCarty","N/A","A world of its own exists on the rooftops of NY ranging from affluent to working people; kids to would be painters; and from readers to sunbathers...one thing unites them all -- the world of rooftops in New York.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.2","14","tt0055384","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt0055792","Big City Blues",1962,"N/A","20 min","Short","Charles Huguenot van der Linden","Charles Huguenot van der Linden","Joop Admiraal, René Deshauteurs, David Kropveld","Two drunk men chase a girl and a young boy chases a rabbit; leading to horrific consequences.","English, Dutch, German","United States, Netherlands","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDQ2YzZiMDYtNDI2MC00NzZlLWJlYzYtMjk5MWI5NjBkMjFlXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.7","42","tt0055792","movie",NA,NA,NA,NA,"7.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt0055820","The Cadillac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt0055853","The Cliff Dwellers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt0056091","Icarus Montgolfier Wright",1962,"N/A","16 min","Animation, Short","Osmond Evans","Ray Bradbury (original story), Ray Bradbury (screenplay), George Clayton Johnson (screenplay)","James Whitmore, Ross Martin","The film is set in the near future, on August 22, 1970. A man sleeps in the New Mexico desert. He the pilot of the upcoming first flight to the Moon, and the rocket which will transport him...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BY2JlYWNhNTgtNWZiZC00OTFhLTlkM2QtMmY0MmRkN2I1NWVlXkEyXkFqcGdeQXVyODQ1NDgyNA@@._V1_SX300.jpg","N/A","6.6","68","tt0056091","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt0056464","Self Defense... for Cowards",1962,"N/A","8 min","Animation, Short, Comedy","Gene Deitch","Alice McGrath, Chris Jenkyns","Arthur Treacher","In a series of vignettes, we see how to ""win"" a barroom fight by such tactics as going limp, garlic breath, screaming, enlisting the help of a large, intimidating friend, etc.","English","Czechoslovakia, United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZmFlMzIwODYtMjE3YS00NjQ0LTlhMTUtNjkwMDM1YTllMGYxXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.5","104","tt0056464","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"35-1963","tt1534484","Pan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"36-1964","tt0056841","Automania 2000",1963,"N/A","9 min","Animation, Short","John Halas","Todor Kolev, Györgyei, Joy Batchelor","Ed Bishop","An animated, dark satire of America's automobile-obsessed, consumerist culture. An anonymous, brilliant scientist toils tirelessly in his ivory tower satisfying the public's ever-increasing demands for novelty and status consciousnes","English","United Kingdom","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTE5MzAxNDAtODlhMS00YzNkLWI4MjItMjgxZWI4NDVmOWY3XkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.7","200","tt0056841","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"36-1964","tt0056946","Koncert",1962,"N/A","16 min","Short","István Szabó","N/A","Géza Berczy, Lajos Cs. Németh, Tamás Eröss","A trio of young men leave a piano by the beach while chasing love interests. Several beach-goers have a go at playing creating an impromptu concert.","None","Hungary, United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTMwNWRlNDItZjI1Ny00YmZhLTgxMjEtMGYyYjBjOGExNzg3XkEyXkFqcGdeQXVyNzA1OTk3Mw@@._V1_SX300.jpg","N/A","6.9","122","tt0056946","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"36-1964","tt0057090","A Gathering of Eagles",1963,"Approved","115 min","Drama, Romance, War","Delbert Mann","Robert Pirosh, Sy Bartlett","Rock Hudson, Rod Taylor, Mary Peach","During the Cold War, Air Force Colonel Jim Caldwell shapes up his Strategic Air Command B-52 wing to pass a nuclear war readiness test.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYjdlYjE2YTItZmQwNS00OGQ5LThjMzYtNzQ3NDk2ZTYxY2QxXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg","N/A","6.2","937","tt0057090","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"36-1964","tt0057185","Igra",1962,"N/A","13 min","Animation, Short, Action","Dusan Vukotic","Dusan Vukotic","Zdravko Pavlis, Jelena Verner","Boy and girl are fighting as a part of their game. They start slowly by drawing pictures: girl draws flower, boy draws car which run over flower, girl destroys car on a drawing etc... Their fight is increasing until they destroy all","Serbo-Croatian","Yugoslavia","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDI5M2ZjNWItNjM4Yy00M2ViLWFkMDYtMzA5YWQ0MTM1MmRlXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","7.9","144","tt0057185","movie",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"36-1964","tt0057410","Pianissimo",1963,"N/A","6 min","Animation, Short","Carmen D'Avino","N/A","N/A","An experimental animated short film in which a piano plays a song and the keys, hammers, and various other parts of the piano are different colors.","N/A","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzI3ZjM4YmQtOGFjNi00ZjhkLWJjMDEtNThkZDMyMjU1MWU5XkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg","N/A","5.6","202","tt0057410","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"37-1965","tt0058211","How to Avoid Friendship",1964,"N/A","7 min","Animation, Short","Gene Deitch","Eli Bauer","Arthur Treacher, Allen Swift","The Independent League of Loners, known as the ILL, has studied the problem of excess camaraderie and has formulated this happy guide to solitude. A case study of person types to avoid.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNGJjYmFlOGQtN2VmYi00MzA3LWI3MDQtODc2MjZkMTJlNzMwXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","68","tt0058211","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"37-1965","tt0058416","Here's Nudnik",1965,"Approved","6 min","Animation, Short","Gene Deitch","Gene Deitch","N/A","Nudnik lives in the Withered Arms Apartments in what appears to be Manhattan. He wakes from his chair/bed and eventually escapes. He decides to start cooking and between expanding bread and a flooding sink creates disaster in his apa","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTYzMTkxNDY5MF5BMl5BanBnXkFtZTcwNzA0NDMyMQ@@._V1_SX300.jpg","N/A","6.3","65","tt0058416","movie",NA,NA,NA,NA,"6.3/10",NA,NA,5,2022-02-24,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"38-1966","tt0059041","Clay or the Origin of Species",1967,"Not Rated","9 min","Animation, Short","Eli Noyes","N/A","N/A","Traces the rise of life on earth from primordial ooze to the present.","N/A","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWNmMWE4ZTEtZTI1YS00YjYwLWJiYWEtZmIwNWQwMDdhYmM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","6.2","79","tt0059041","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"38-1966","tt0059214","La gazza ladra",1964,"N/A","11 min","Animation, Short","Giulio Gianini, Emanuele Luzzati","Giulio Gianini, Emanuele Luzzati","N/A","A king and his hunting party shoot down birds. A magpie escapes the onslaught of arrows and wreaks havoc on the hunting party.","Italian","Italy","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTRmZTkzODYtNjYzMS00MjY3LWJhZWItZGY1MDgwNTk4NGZjXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_SX300.jpg","N/A","6.4","283","tt0059214","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
